URL	Question	Option A	Option B	Option C	Option D	Prompt	GT	gpt4o Response
https://attack.mitre.org/techniques/T1548/	Which of the following mitigations involves preventing applications from running that haven't been downloaded from legitimate repositories?	Audit	Execution Prevention	Operating System Configuration	User Account Control	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following mitigations involves preventing applications from running that haven't been downloaded from legitimate repositories?  **Options:** A) Audit B) Execution Prevention C) Operating System Configuration D) User Account Control  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	B
https://attack.mitre.org/techniques/T1548/	Which data source is recommended for monitoring commands that may circumvent mechanisms designed to control elevation of privileges?	Command	File	Process	User Account	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which data source is recommended for monitoring commands that may circumvent mechanisms designed to control elevation of privileges?  **Options:** A) Command B) File C) Process D) User Account  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D	C
https://attack.mitre.org/techniques/T1548/	What does mitigation ID M1028 suggest to prevent privilege escalation exploits on a system?	Limiting privileges of cloud accounts	Preventing unsigned applications from running	Minimizing applications with setuid or setgid bits set	Enforcing the highest UAC level	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What does mitigation ID M1028 suggest to prevent privilege escalation exploits on a system?  **Options:** A) Limiting privileges of cloud accounts B) Preventing unsigned applications from running C) Minimizing applications with setuid or setgid bits set D) Enforcing the highest UAC level  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	C
https://attack.mitre.org/techniques/T1548/	Which process creation is an indicator of potential SYSTEM privilege escalation according to the detection section?	C:\Windows\System32\services.exe	C:\Windows\System32\cmd.exe	C:\Windows\System32\rundll32.exe	C:\Windows\System32\notepad.exe	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which process creation is an indicator of potential SYSTEM privilege escalation according to the detection section?  **Options:** A) C:\Windows\System32\services.exe B) C:\Windows\System32\cmd.exe C) C:\Windows\System32\rundll32.exe D) C:\Windows\System32\notepad.exe  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	A
https://attack.mitre.org/techniques/T1548/	In a Linux environment, what is recommended to monitor for detecting privilege escalation via sudo?	Monitor Windows Registry Key Modification	Monitor OS API Execution	Monitor file metadata for setuid or setgid bits on files	Audit process metadata changes	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In a Linux environment, what is recommended to monitor for detecting privilege escalation via sudo?  **Options:** A) Monitor Windows Registry Key Modification B) Monitor OS API Execution C) Monitor file metadata for setuid or setgid bits on files D) Audit process metadata changes  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	C
https://attack.mitre.org/techniques/T1548/	What mitigation ID suggests requiring a password every time sudo is executed to manage privileged accounts?	Audit	Privileged Account Management	Restrict File and Directory Permissions	User Account Management	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What mitigation ID suggests requiring a password every time sudo is executed to manage privileged accounts?  **Options:** A) Audit B) Privileged Account Management C) Restrict File and Directory Permissions D) User Account Management  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	B
https://attack.mitre.org/techniques/T1548/001/	"An adversary leveraging the technique ""Abuse Elevation Control Mechanism: Setuid and Setgid"" is targeting which systems from the MITRE ATT&CK Enterprise matrix?"	Linux	Windows	macOS	Linux and macOS	"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** An adversary leveraging the technique ""Abuse Elevation Control Mechanism: Setuid and Setgid"" is targeting which systems from the MITRE ATT&CK Enterprise matrix?  **Options:** A) Linux B) Windows C) macOS D) Linux and macOS  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. "	D	D
https://attack.mitre.org/techniques/T1548/001/	Which of the following commands would an adversary use to find files with the setgid bit set on a UNIX-based system?	find / -perm +4000 2>/dev/null	find / -perm +2000 2>/dev/null	ls -l | grep 's'	"grep -R ""setgid"" /"	"You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following commands would an adversary use to find files with the setgid bit set on a UNIX-based system?  **Options:** A) find / -perm +4000 2>/dev/null B) find / -perm +2000 2>/dev/null C) ls -l | grep 's' D) grep -R ""setgid"" /  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. "	A	B
https://attack.mitre.org/techniques/T1548/001/	Which mitigation strategy from the MITRE ATT&CK framework is recommended to counteract the abuse of setuid and setgid bits?	M1028 - Ensure disk encryption	M1028 - Operating System Configuration	M1030 - Network Segmentation	M1040 - Application Isolation and Sandboxing	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation strategy from the MITRE ATT&CK framework is recommended to counteract the abuse of setuid and setgid bits?  **Options:** A) M1028 - Ensure disk encryption B) M1028 - Operating System Configuration C) M1030 - Network Segmentation D) M1040 - Application Isolation and Sandboxing  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	B
https://attack.mitre.org/techniques/T1548/001/	Which data source should you monitor to detect changes indicating abuse of setuid or setgid bits on files?	DS0022 - Registry	DS0017 - Command execution	DS0035 - Network Traffic	DS0022 - File Metadata and Modification	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which data source should you monitor to detect changes indicating abuse of setuid or setgid bits on files?  **Options:** A) DS0022 - Registry B) DS0017 - Command execution C) DS0035 - Network Traffic D) DS0022 - File Metadata and Modification  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D	D
