Question,Option A,Option B,Option C,Option D,GT
Which organization developed the MITRE ATT&CK knowledge base?,Microsoft,The MITRE Corporation (Correct Answer),Google,IBM,B
Which organization is responsible for maintaining and evolving the ATT&CK framework as of March 2020?,NSA (National Security Agency),FBI (Federal Bureau of Investigation),MITRE Corporation,DHS (Department of Homeland Security),C
Which section of the document provides details on the relationships in the ATT&CK Object Model?,3.4.2 Technique and Sub-Technique Object Structure,3.5 Groups,3.7 Mitigations,3.8 ATT&CK Object Model Relationships,D
Which section of the document discusses the Adversary's Perspective?,3.9.1.5 Deprecation,4.1 Conceptual,4.2 Tactics,4.3 Techniques and Sub-Techniques,B
Which section of the document outlines the process of creating new techniques within the ATT&CK framework?,4.3.1.4 Adversary Use,4.3.3 Enhancing Existing Techniques,4.3.6 Examples of Applying the Methodology for New Techniques,4.3.4 Named Adversary Groups Using Techniques,C
Which of the following best describes the MITRE ATT&CK model?,A curated knowledge base and model for cyber adversary behavior,A tool for encrypting data on computer networks,A software for monitoring network traffic,A platform for hosting websites,A
Which of the following is a core component of the MITRE ATT&CK framework?,Attack vectors against software,Tactics,Vulnerabilities in software,Exploits,B
Which of the following statements regarding ATT&CK models is true based on the text provided?,The first ATT&CK model was released in 2017.,ATT&CK for Mobile focuses on behavior in the Windows enterprise environment.,PRE-ATT&CK was published to document behavior against industrial control systems.,ATT&CK for Cloud was published in 2019 to describe behavior against cloud environments.,D
Which of the following cybersecurity activities involves applying an adversarial mindset without the use of known threat intelligence for the purpose of conducting an exercise?,Behavioral Analytics Development,Red Teaming,Defensive Gap Assessment,Adversary Emulation Scenarios,B
Which of the following statements is true regarding the use of ATT&CK framework in cybersecurity?,ATT&CK is primarily used to identify specific vulnerabilities in networks.,ATT&CK is not useful for assessing the maturity of a Security Operations Center (SOC).,ATT&CK can be used to compare security products based on a common adversary behavior model.,ATT&CK does not provide insights on cyber threat intelligence enrichment.,C
Which of the following statements about ATT&CK coverage is true based on the provided text?,Coverage of every ATT&CK technique is easily achievable in any enterprise.,Attribution of activity should solely be based on the ATT&CK techniques used.,ATT&CK documents known adversary behavior to provide a checklist for addressing all threats.,Not all adversary behaviors in ATT&CK should be used as a basis for alerting or providing data to an analyst.,D
Which of the following statements best describes the importance of understanding and mapping procedures in the ATT&CK framework?,Collecting data on any activity related to a technique is sufficient for coverage.,It is crucial to know all procedures in advance to effectively detect adversary behavior.,Coverage of a technique can be challenging as it may involve various procedures and variations.,Mapping to ATT&CK requires 100% coverage of all procedures for each technique.,C
"Which of the following best describes the relationship between tactics, techniques, and sub-techniques in the ATT&CK model?","Tactics represent actions that adversaries can perform to accomplish objectives, while techniques and sub-techniques provide context at a more detailed level.","Tactics are the most detailed level of actions an adversary can perform, while techniques and sub-techniques are broader categories.","Tactics and techniques are interchangeable terms in the ATT&CK model, with sub-techniques providing additional granularity.","Tactics, techniques, and sub-techniques are separate but unrelated concepts in the ATT&CK model.",A
Which of the following is a sub-technique of the Persistence Tactic described in the text?,Scheduled Task/Job ,Bootkit ,Network Protocol Analysis ,Data Encryption ,B
"Which of the following represents the ""why"" of an ATT&CK technique or sub-technique, serving as the adversary's tactical objective?",Reconnaissance,Weaponization,Tactics,Execution,C
Which component of the MITRE ATT&CK framework describes specific implementation adversaries have used for techniques or sub-techniques?,Tactics,Techniques,Procedures,Sub-techniques,C
Which of the following is a required data item for techniques and sub-techniques in the MITRE ATT&CK model?,Tactic,Platform,ID,Sub-Techniques,C
Which of the following tags indicates the lowest level of permissions an adversary is required to be operating within to perform a technique on a system?,System Requirements Field,Permissions Tag,Effective Permissions,Data Source Tag,B
Which of the following fields on a (sub-)technique page provides information on how to prevent a technique from working or having the desired outcome for an adversary?,Impact Type,Contributor Tag,Detection,Mitigation,D
Which of the following best describes the purpose of mitigation fields in cybersecurity?,Populating specific tools for each (sub-)technique,Recommending general methods or capability classes for mitigation,Directly applying mitigation to adversaries,Documenting all possible relationships to a given (sub-)technique,B
Which of the following statements is true regarding the relationship between sub-techniques and techniques in the MITRE ATT&CK framework?,Sub-techniques can have relationships with multiple parent techniques.,Sub-techniques must fulfill every parent technique's tactic to be included.,Sub-techniques are always platform-specific.,Not all techniques will have sub-techniques.,D
Which of the following statements is true regarding the mapping of threat intelligence information to techniques and sub-techniques in the ATT&CK framework?,Groups and software procedure examples are inherited between techniques and sub-techniques.,Mitigation information has an upwards inheritance to the technique from sub-techniques.,"If threat intel information is specific enough to assign it to a sub-technique, it becomes a procedure example only for the technique.",The same procedure can be mapped to both techniques and sub-techniques to establish redundant relationships.,C
Which data item in the ATT&CK Group Model represents the name of the adversary group?,ID,Version,Description,Name,D
Which of the following best describes malware according to the given text?,Commercial software used by defenders,Open-source software built for red teamers,Custom closed-source software intended for malicious purposes,Publicly available software typically found in enterprise systems,C
What is the purpose of Mitigations in the ATT&CK framework?,To describe specific security solutions for different software profiles,To represent security concepts and classes of technologies to prevent successful execution of techniques,To list all known malware and tools used by threat groups,To provide a detailed description of software based on technical references,B
"What is the purpose of the ""ID"" data item in the ATT&CK Mitigation Model?",To list (sub-)techniques potentially covered by the mitigation.,To describe mitigation-specific information and details.,To provide a unique identifier for the mitigation within the knowledge base.,To indicate the version of the mitigation.,C
"In the context of the ATT&CK framework, which of the following statements is true regarding versioning of objects?",Major version changes for techniques include descriptive information updates.,Major version changes for groups consist of changes to references and relationships to techniques.,Minor version changes for software include changes to the software's description.,Minor version changes for mitigations consist of changes to relationships with techniques and software.,D
Which of the following best describes the concept of deprecation in the context of the ATT&CK knowledge base?,Objects that are deemed no longer beneficial are permanently deleted from the knowledge base.,Deprecated objects are removed from the STIX repositories and are no longer maintained.,Deprecated objects are still maintained in the STIX repositories but no longer appear in the navigation bar and matrix on the main ATT&CK website.,Deprecated objects are updated with new information and prominently displayed on the main ATT&CK website.,C
Which of the following is a core conceptual idea behind ATT&CK?,Maintaining the defender's perspective,Focusing on vulnerability scoring,Following the adversary's perspective,Prioritizing risk calculations,C
Which of the following is NOT a potential source of information used to support the empirical use criteria of ATT&CK techniques?,Threat intelligence reports,Conference presentations ,Weather forecasts ,Open source code repositories,C
Which of the following is NOT mentioned as a potential source of information for enriching ATT&CK knowledge base?,Threat intelligence analysts,Defenders such as threat hunters and incident responders,Red teamers tracking adversary groups,Publicly reported incidents,D
"Which cybersecurity model is described as necessary to tie various components together, defining adversarial behaviors within a lifecycle to effectively map to defenses?",Lockheed Martin Cyber Kill Chain,Microsoft STRIDE,ATT&CK,Exploit databases,C
Which of the following statements best describes what the ATT&CK technique abstraction provides?,A common taxonomy of individual adversary actions and goals understood only by defense.,An inappropriate level of categorization to relate adversary's action and specific ways of defending against it.,A common taxonomy of individual adversary actions and goals understood by both offense and defense.,A high level of categorization that does not relate to adversary's action or ways of defending against it.,C
What was the main reason for breaking the exfiltration tactic into two separate actions in the context provided?,To confuse adversaries,To accurately represent distinct motives and actions necessary for successful exfiltration,To slow down the exfiltration process,To hide the data more effectively,B
Which aspect of the CIA triad is affected when an attacker modifies the balance of a bank account stored in a database?,Availability,Integrity,Confidentiality,Authentication,B
Which of the following best describes the concept of sub-techniques in cybersecurity?,Specific ways a technique can be performed that may apply to one platform only,Methods used to perform a technique at a higher level of abstraction,Intermediate levels of abstraction from using the tactic,Industry-accepted terminology for established techniques,C
Which of the following is an example of a sub-technique that applies across multiple platforms?,Rundll32,Hidden Files and Directories,Credential Dumping,Detection Examples,B
Which of the following is a category of empirical use information for ATT&CK techniques based on the given text?,Unreported,"Reported, non-public ",Misreported ,Overreported ,B
Which of the following is a consideration when creating new techniques in the ATT&CK model?,Requirements,Detection,Mitigations,Tactic categorization,D
Which of the following factors should be considered when determining whether a new behavior should be included in an existing cybersecurity technique or sub-technique?,Only the detection method of the new behavior,The similarity in execution to other techniques,The number of existing adversary malware tools,The color of the team implementing the new behavior,B
Which of the following criteria are used to evaluate the reliability of threat intelligence sources within ATT&CK?,Originality and exclusivity of the source,Number of social media followers of the source,"Consistency, reliability, and respectability of the source",Use of leaked or classified information,C
"When analyzing a cybersecurity data source, what should analysts be cautious about assuming?",That the source has been approved for public release,That the source contains spelling or grammatical errors,That the source demonstrates sound analysis methodology,That other sources corroborate the information provided,C
Which of the following best describes the methodology for categorizing adversary groups based on the text provided?,"Only techniques directly performed by adversaries should be considered, excluding any techniques performed by software samples.",Ungrouped or unnamed activity should not be included as justification for a technique.,Adversarial behavior and technique use for ungrouped or unnamed activity should be included as a reference within the technical section of a technique.,New techniques cannot be added to the ATT&CK knowledge base unless they have been previously documented.,C
Which technique involves loading malicious code within an existing live process for malicious purposes?,Application whitelisting,Process injection,Code integrity,Dynamic library loading,B
Which of the following best describes SQL Injection (SQLi) based on the provided text?,SQLi is a method of injecting code through a properly secured web interface.,SQLi is a technique explicitly listed in the ATT&CK framework.,SQLi involves injecting code through an improperly secured web interface to manipulate a database process.,SQLi is a benign behavior that adversaries use for legitimate purposes.,C
Which of the following can be used to detect aspects of an adversary downloading and using tools within an enterprise network to perform a SQL injection attack?,Application logs,Internal netflow,Antivirus software,Email logs,B
"Which cybersecurity framework organizes adversary tactics and techniques, providing a common language for security disciplines?",CAPEC,CWE,OWASP,ATT&CK,D
Which of the following is a valid and potentially useful application of the ATT&CK methodology discussed in the text?,Building a model for cybersecurity threat intelligence,Developing a model to describe misinformation and influence campaigns,Creating a model for cloud security architecture,Designing a model for secure coding practices,B
Which of the following is a key resource for applying the ATT&CK methodology to model adversary behavior in new areas?,Common Attack Pattern Enumeration and Classification (CAPEC),Common Weakness Enumeration (CWE),Adversary Emulation Plans,Enterprise Mitigations,C
"Which organization provides information related to cybersecurity techniques, such as ""Exploit Public-Facing Application"" and ""Process Injection""?",FIRST  ,The Credibility Coalition ,The MITRE Corporation ,The AMITT Framework  ,C
Which regulation is referred to in the text provided?,GDPR,Directive 95/46/EC,HIPAA,COPPA,A
Which directive is being referenced in the text provided?,Directive 95/46/EC,Directive 2002/58/EC,Directive 2009/136/EC,Directive 2016/680,A
Which of the following statements is true regarding the importance of data protection in the context of rapid technological developments and globalization?,Technology has reduced the scale of collection and sharing of personal data significantly.,Public authorities should not be allowed to make use of personal data on an unprecedented scale.,"Natural persons should have control of their personal data, and a high level of protection should be ensured.",Legal uncertainty and fragmentation in data protection implementation across the Union are not significant risks.,C
Which European directive aims to ensure a consistent and high level of protection of personal data in all Member States?,Directive 2002/58/EC,Directive 95/46/EC,Directive 2006/24/EC,Directive 2009/136/EC,B
"Which European Union regulation aims to provide legal certainty and transparency for economic operators, including micro, small, and medium-sized enterprises, regarding the processing of personal data?",GDPR,HIPAA,CCPA,NIST,A
Which of the following statements is true regarding the General Data Protection Regulation (GDPR)?,The GDPR only applies to large enterprises,"The GDPR applies to the processing of personal data of natural persons, regardless of nationality or place of residence",The GDPR does not cover the processing of personal data concerning legal persons,The GDPR does not apply to any activities related to national security,B
Which of the following is true regarding the application of the Regulation mentioned in the text?,"It applies to all personal data processing activities, regardless of the context.",It does not apply to personal data processing activities related to professional or commercial activities.,It only applies to personal data processing activities carried out by commercial entities.,It does not apply to personal data processing activities carried out by controllers or processors.,B
What legal act should govern personal data processed by public authorities for purposes of safeguarding against and preventing threats to public security under the European Union regulations?,Directive (EU) 2016/679,Directive (EU) 2016/680,General Data Protection Regulation (GDPR),Directive (EU) 2018/1725,B
Which of the following is true regarding the processing of personal data by courts and judicial authorities under the GDPR?,Supervisory authorities have full competence to oversee all data processing activities by courts and judicial authorities.,Judicial bodies are exempt from compliance with the GDPR when acting in their judicial capacity.,Specific bodies within the judicial system of Member States are responsible for ensuring compliance with the GDPR for data processing by courts.,Courts and judicial authorities are not subject to any data protection regulations.,C
"Which regulation is primarily concerned with the protection of personal data of individuals within the European Union, regardless of the location of the data controller or processor?",Directive 2000/31/EC,Council Framework Decision 2008/977/JHA,Regulation (EU) 2016/680,Directive on electronic commerce,C
Which of the following activities may subject a controller or processor not established in the European Union to the regulations of the GDPR?,Monitoring the behavior of data subjects within the Union,Selling goods or services to data subjects outside the Union,Storing personal data of data subjects in a secure database,Conducting market research on a global scale,A
Which of the following statements is true regarding the General Data Protection Regulation (GDPR)?,The GDPR does not apply to the processing of anonymous information,The GDPR applies to the personal data of deceased persons,Pseudonymisation is not recommended in the GDPR for data protection,The GDPR requires controllers to keep additional information for attributing personal data separately,A
Which of the following statements regarding consent for processing personal data is correct based on the text provided?,Consent can be inferred from the data subject's silence or inactivity.,"Consent must be given in a clear affirmative act, such as a written or oral statement.",Consent can be assumed from pre-ticked boxes without explicit confirmation.,Consent is not required for processing personal data by public authorities.,B
Which of the following is defined as personal data relating to the inherited or acquired genetic characteristics of a natural person resulting from the analysis of a biological sample?,Financial data,Educational data  ,Genetic data  ,Social media data  ,C
Which of the following is NOT considered a determining criterion for the main establishment of a controller or processor in the European Union according to Directive 2011/24/EU?,Presence of technical means and technologies for processing personal data,Central administration location in the Union,Where the main processing activities take place in the Union,Number of employees in the establishment,D
Which of the following statements is NOT true regarding the processing of personal data under the GDPR?,The main establishment of the controlling undertaking is considered the main establishment of the group of undertakings.,Children are not entitled to any specific protection regarding their personal data.,Consent of the holder of parental responsibility is not necessary for preventive or counseling services offered directly to a child.,"Any processing of personal data should be lawful, fair, and transparent to natural persons.",B
"According to the text, what principle emphasizes that personal data should be processed in a transparent and secure manner?",Principle of Anonymity,Principle of Integrity,Principle of Confidentiality,Principle of Accountability,C
Which of the following is a requirement for obtaining the data subject's consent for processing personal data under the GDPR?,The consent form should be provided in a complex and difficult-to-understand language.,The data subject should not be made aware of the identity of the controller.,The data subject should have no genuine or free choice in giving consent.,"The consent form should be provided in an intelligible and easily accessible form, using clear and plain language.",D
In which scenario is consent presumed not to be freely given under the General Data Protection Regulation (GDPR)?,When separate consent is allowed for different personal data processing operations,When consent is necessary for the performance of a contract,When there is a clear imbalance between the data subject and the controller,When the processing is carried out in accordance with a legal obligation,C
Which of the following could serve as a legal basis for processing personal data according to the text provided?,Consent of the data subject,Legitimate interests of the controller,Performance of a task carried out in the public interest,Protection of the data subject's financial interests,B
Which of the following scenarios may constitute a legitimate interest for a data controller under GDPR regulations?,Processing personal data for direct marketing purposes,Sharing personal data within a group of undertakings for internal administrative purposes,Collecting personal data without the data subject's knowledge or consent,Selling personal data to third-party vendors for profit,B
Which of the following entities is considered legitimate for processing personal data to prevent unauthorized access to electronic communications networks and malicious code distribution?,Public authorities,Retail stores,Food delivery services,Social media influencers,A
What should be ensured when further processing personal data according to the text provided?,Informing the data subject of other purposes and rights,Sharing personal data without consent,Storing personal data indefinitely,Using personal data for commercial purposes,A
Which of the following statements about the processing of biometric data is true based on the text provided?,Biometric data processing is always considered as the processing of special categories of personal data.,Biometric data processing is prohibited under the regulations unless explicit consent is provided by the data subject.,Biometric data processing may be exempt from the general prohibition under specific conditions outlined in the Regulation.,Biometric data processing is only allowed for commercial purposes according to the Regulation.,C
Which of the following is a legitimate purpose for derogation in the processing of special categories of personal data under the GDPR?,Marketing and advertising purposes,Management of health-care services,Social media engagement,Entertainment and leisure activities,B
Which of the following conditions allows the processing of special categories of personal data for reasons of public interest in the area of public health without the consent of the data subject?,Genetic data processing,Biometric data processing,Data concerning health processing,Data processing by employers,C
