CVE_ID	Description	CWE	gpt4o
CVE-2024-1098	A vulnerability was found in Rebuild up to 3.5.5 and classified as problematic. This issue affects the function QiniuCloud.getStorageFile of the file /filex/proxy-download. The manipulation of the argument url leads to information disclosure. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-252455.	NVD-CWE-noinfo	CWE-200
CVE-2024-0195	A vulnerability, which was classified as critical, was found in spider-flow 0.4.3. Affected is the function FunctionService.saveFunction of the file src/main/java/org/spiderflow/controller/FunctionController.java. The manipulation leads to code injection. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. VDB-249510 is the identifier assigned to this vulnerability.	CWE-94	CWE-94
CVE-2024-0419	A vulnerability was found in Jasper httpdx up to 1.5.4 and classified as problematic. This issue affects some unknown processing of the component HTTP POST Request Handler. The manipulation leads to denial of service. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-250439.	CWE-404	These points fit well with CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion'), which
CVE-2024-0573	A vulnerability has been found in Totolink LR1200GB 9.1.0u.6619_B20230130 and classified as critical. Affected by this vulnerability is the function setDiagnosisCfg of the file /cgi-bin/cstecgi.cgi. The manipulation of the argument ip leads to stack-based buffer overflow. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-250789 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	CWE-121	CWE-121
CVE-2024-0084	NVIDIA vGPU software for Linux contains a vulnerability in the Virtual GPU Manager, where the guest OS could execute privileged operations. A successful exploit of this vulnerability might lead to information disclosure, data tampering, escalation of privileges, and denial of service.	NVD-CWE-Other	Such a vulnerability generally falls under the category of improper authorization or improper access control when an untrusted component (guest OS) is allowed to perform privileged operations that it should not have access to. This scenario aligns well with CWE-269: Improper Privilege Management. CWE-269 covers vulnerabilities where the software does not properly enforce privileges, allowing an attacker to leverage an incorrect assignment of the privileges assigned to user types and perform unauthorized actions
CVE-2024-1022	A vulnerability, which was classified as problematic, was found in CodeAstro Simple Student Result Management System 5.6. This affects an unknown part of the file /add_classes.php of the component Add Class Page. The manipulation of the argument Class Name leads to cross site scripting. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-252291.	CWE-79	CWE-79
CVE-2024-0294	A vulnerability, which was classified as critical, has been found in Totolink LR1200GB 9.1.0u.6619_B20230130. Affected by this issue is the function setUssd of the file /cgi-bin/cstecgi.cgi. The manipulation of the argument ussd leads to os command injection. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-249860. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	CWE-78	CWE-78
CVE-2024-1659	Arbitrary File Upload vulnerability in MegaBIP software allows attacker to upload any file to the server (including a PHP code file) without an authentication. This issue affects MegaBIP software versions through 5.10.	CWE-434	The process of uploading arbitrary files without proper validation and restriction, particularly without authentication, broadens the potential for malicious activities, making the system vulnerable to unauthorized access and code execution. Therefore, this vulnerability is best categorized under CWE-434: Unrestricted Upload of File with Dangerous Type, as the application fails to restrict the types of files that can be uploaded and does not implement sufficient security measures to prevent unauthorized uploads.
CVE-2024-1702	A vulnerability was found in keerti1924 PHP-MYSQL-User-Login-System 1.0 and classified as critical. Affected by this issue is some unknown functionality of the file /edit.php. The manipulation leads to sql injection. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. VDB-254390 is the identifier assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	CWE-89	"CWE-89 is the Common Weakness Enumeration ID that corresponds to ""Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')."" This CWE precisely describes the nature of the vulnerability described in the CVE, as it involves the improper handling of"
CVE-2024-1018	A vulnerability classified as problematic has been found in PbootCMS 3.2.5-20230421. Affected is an unknown function of the file /admin.php?p=/Area/index#tab=t2. The manipulation of the argument name leads to cross site scripting. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-252288.	CWE-79	The most
CVE-2024-0668	The Advanced Database Cleaner plugin for WordPress is vulnerable to PHP Object Injection in all versions up to, and including, 3.1.3 via deserialization of untrusted input in the 'process_bulk_action' function. This makes it possible for authenticated attacker, with administrator access and above, to inject a PHP Object. No POP chain is present in the vulnerable plugin. If a POP chain is present via an additional plugin or theme installed on the target system, it could allow the attacker to delete arbitrary files, retrieve sensitive data, or execute code.	CWE-502	Although the vulnerability requires administrator-level access to exploit within the context described, the core issue still arises from the mismanagement of deserialization mechanisms. The possibility of creating or utilizing a PHP Object signature
CVE-2024-1295	The events-calendar-pro WordPress plugin before 6.4.0.1, The Events Calendar WordPress plugin before 6.4.0.1 does not prevent users with at least the contributor role from leaking details about events they shouldn't have access to. (e.g. password-protected events, drafts, etc.)	NVD-CWE-Other	CWE-284
CVE-2024-0276	A vulnerability classified as critical has been found in Kashipara Food Management System up to 1.0. This affects an unknown part of the file rawstock_used_damaged_smt.php. The manipulation of the argument product_name leads to sql injection. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249831.	CWE-89	Given these aspects, this situation maps to CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'). CWE-89 covers vulnerabilities where user-controlled input is included in an SQL query and not properly escaped or parameterized,
CVE-2024-0814	Incorrect security UI in Payments in Google Chrome prior to 121.0.6167.85 allowed a remote attacker to potentially spoof security UI via a crafted HTML page. (Chromium security severity: Medium)	CWE-346	Such issues where UI elements can be spoofed, leading to potential misleading of users, generally fall under the category of CWE-451: User Interface (UI) Misrepresentation of Critical Information. This CWE describes situations where a user interface might display incorrect or misleading information that could deceive a user into thinking that an action is benign when it is not, or that a presented state is accurate when it is not
CVE-2024-1709	"ConnectWise ScreenConnect 23.9.7 and prior are affected by an Authentication Bypass Using an Alternate Path or Channel

 vulnerability, which may allow an attacker direct access to confidential information or 

critical systems.

"	NVD-CWE-Other	In the context of the Common Weakness Enumeration (CWE), this type of vulnerability aligns directly with CWE-288: Authentication Bypass Using an Alternate Path or Channel. CWE-288 is described as situations where an application does not adequately protect itself against circumvention of the authentication process by finding an alternate path or channel,
CVE-2024-1880	An OS command injection vulnerability exists in the MacOS Text-To-Speech class MacOSTTS of the significant-gravitas/autogpt project, affecting versions up to v0.5.0. The vulnerability arises from the improper neutralization of special elements used in an OS command within the `_speech` method of the MacOSTTS class. Specifically, the use of `os.system` to execute the `say` command with user-supplied text allows for arbitrary code execution if an attacker can inject shell commands. This issue is triggered when the AutoGPT instance is run with the `--speak` option enabled and configured with `TEXT_TO_SPEECH_PROVIDER=macos`, reflecting back a shell injection snippet. The impact of this vulnerability is the potential execution of arbitrary code on the instance running AutoGPT. The issue was addressed in version 5.1.0.	CWE-78	CWE-78
CVE-2024-1626	An Insecure Direct Object Reference (IDOR) vulnerability exists in the lunary-ai/lunary repository, version 0.3.0, within the project update endpoint. The vulnerability allows authenticated users to modify the name of any project within the system without proper authorization checks, by directly referencing the project's ID in the PATCH request to the '/v1/projects/:projectId' endpoint. This issue arises because the endpoint does not verify if the provided project ID belongs to the currently authenticated user, enabling unauthorized modifications across different organizational projects.	CWE-250	"The appropriate CWE for this type of vulnerability is CWE-639, which deals with incorrect authorization, specifically referenced as ""Authorization Bypass Through User-Controlled Key."" This CWE covers scenarios where access to a resource is improperly restricted due to a failure to assert proper ownership or permissions"
CVE-2024-0813	Use after free in Reading Mode in Google Chrome prior to 121.0.6167.85 allowed an attacker who convinced a user to install a malicious extension to potentially exploit heap corruption via specific UI interaction. (Chromium security severity: Medium)	CWE-416	"The CWE associated with a ""use after free"" vulnerability is CWE-416. This CWE specifically deals with improper use of dynamic memory during the object's lifetime, where use of the memory occurs after it has been released, which is exactly what the description of the CVE indicates."
CVE-2024-0664	The Meks Smart Social Widget plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the Meks Smart Social Widget in all versions up to, and including, 1.6.3 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers, with administrator-level access, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page. This only affects multi-site installations and installations where unfiltered_html has been disabled.	CWE-79	CWE-79
CVE-2024-0498	A vulnerability was found in Project Worlds Lawyer Management System 1.0. It has been declared as critical. Affected by this vulnerability is an unknown functionality of the file searchLawyer.php. The manipulation of the argument experience leads to sql injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-250603.	CWE-89	"The Common Weakness Enumeration (CWE) identifier most appropriate for mapping this vulnerability is CWE-89, which stands for ""Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection"
CVE-2024-0439	"As a manager, you should not be able to modify a series of settings. In the UI this is indeed hidden as a convenience for the role since most managers would not be savvy enough to modify these settings. They can use their token to still modify those settings though through a standard HTTP request

While this is not a critical vulnerability, it does indeed need to be patched to enforce the expected permission level."	CWE-269	In this case, the system
CVE-2024-0102	NVIDIA CUDA Toolkit for all platforms contains a vulnerability in nvdisasm, where an attacker can cause an out-of-bounds read issue by deceiving a user into reading a malformed ELF file. A successful exploit of this vulnerability might lead to denial of service.	CWE-125	"This type of vulnerability is commonly mapped to CWE-125: ""Out-of-bounds Read."" The CWE-125 definition fits well because it covers instances where the software reads data past a buffer, which can lead to various issues including application crashes or unintended information disclosure. In the context of this CVE, the out"
CVE-2024-0474	A vulnerability classified as critical was found in code-projects Dormitory Management System 1.0. Affected by this vulnerability is an unknown functionality of the file login.php. The manipulation of the argument username leads to sql injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-250579.	CWE-89	The Common
CVE-2024-0927	A vulnerability was found in Tenda AC10U 15.03.06.49_multi_TDE01. It has been classified as critical. Affected is the function fromAddressNat. The manipulation of the argument entrys/mitInterface/page leads to stack-based buffer overflow. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-252132. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	CWE-121	CWE-121
CVE-2024-0124	NVIDIA CUDA Toolkit for Windows and Linux contains a vulnerability in the nvdisam command line tool, where a user can cause nvdisasm to read freed memory by running it on a malformed ELF file. A successful exploit of this vulnerability might lead to a limited denial of service.	CWE-416	CWE-416
CVE-2024-1644	"Suite CRM version 7.14.2 allows including local php files. This is possible

because the application is vulnerable to LFI.



"	CWE-434	The relevant CWE that covers this type of vulnerability is CWE-98: Improper Control of Filename for Include/Require Statement in PHP Program ('PHP File Inclusion'). This CWE explicitly addresses vulnerabilities where user input is improperly handled
CVE-2024-1786	** UNSUPPORTED WHEN ASSIGNED ** A vulnerability, which was classified as critical, has been found in D-Link DIR-600M C1 3.08. Affected by this issue is some unknown functionality of the component Telnet Service. The manipulation of the argument username leads to buffer overflow. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-254576. NOTE: This vulnerability only affects products that are no longer supported by the maintainer. NOTE: Vendor was contacted early and confirmed immediately that the product is end-of-life. It should be retired and replaced.	CWE-120	From the information provided, it is not specified whether the overflow occurs in the stack or heap, but since it's described as a general buffer overflow related to argument manipulation,
CVE-2024-1914	"An attacker who successfully exploited these vulnerabilities could cause the robot to stop, make the robot controller inaccessible.  

The vulnerability could potentially be exploited to perform unauthorized actions by an attacker. This vulnerability arises under specific condition when specially crafted message is processed by the system. 

Below are reported vulnerabilities in the Robot Ware versions. 

* IRC5- RobotWare 6 < 6.15.06 except 6.10.10, and 6.13.07 
* OmniCore- RobotWare 7 < 7.14"	CWE-476	Given these details, the most appropriate CWE that aligns with this scenario is CWE-20: Improper Input Validation. This classification covers situations where the software does
CVE-2024-1312	A use-after-free flaw was found in the Linux kernel's Memory Management subsystem when a user wins two races at the same time with a fail in the mas_prev_slot function. This issue could allow a local user to crash the system.	CWE-416	CWE-
CVE-2024-1828	A vulnerability was found in code-projects Library System 1.0. It has been classified as critical. Affected is an unknown function of the file Source/librarian/user/teacher/registration.php. The manipulation of the argument email/idno/phone/username leads to sql injection. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-254616.	CWE-89	The description mentions that the manipulation of arguments such as `email`, `idno`, `phone`, or `username` can lead to unauthorized SQL execution, which aligns with the characteristics of SQL Injection. Since the vulnerability allows manipulation of SQL queries through user input, it should be mapped to the CWE category that deals with the lack of or improper input validation leading to
CVE-2024-1115	A vulnerability was found in openBI up to 1.0.8 and classified as critical. This issue affects the function dlfile of the file /application/websocket/controller/Setting.php. The manipulation of the argument phpPath leads to os command injection. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-252473 was assigned to this vulnerability.	CWE-78	CWE-78
CVE-2024-0728	A vulnerability classified as problematic was found in ForU CMS up to 2020-06-23. Affected by this vulnerability is an unknown functionality of the file channel.php. The manipulation of the argument c_cmodel leads to file inclusion. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-251551.	CWE-610	The specific type of file inclusion vulnerability can be mapped to CWE-98: Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'). This CWE describes scenarios where user input is used in a file-inclusion context, leading to
CVE-2024-0154	Dell PowerEdge Server BIOS and Dell Precision Rack BIOS contain an improper parameter initialization vulnerability. A local low privileged attacker could potentially exploit this vulnerability to read the contents of non-SMM stack memory.	CWE-788	The most appropriate CWE classification for this type of vulnerability would be CWE-665: Impro
CVE-2024-0795	If an attacked was given access to an instance with the admin or manager role there is no backend authentication that would prevent the attacked from creating a new user with an `admin` role and then be able to use this new account to have elevated privileges on the instance	CWE-284	"This scenario closely relates to CWE-288, ""Authentication Bypass Using an Alternate Path,"" which involves bypassing authentication controls. However, more appropriately, it actually aligns with CWE-284"
CVE-2024-0651	A vulnerability was found in PHPGurukul Company Visitor Management System 1.0. It has been declared as critical. Affected by this vulnerability is an unknown functionality of the file search-visitor.php. The manipulation leads to sql injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-251377 was assigned to this vulnerability.	CWE-89	CWE-89
CVE-2024-0929	A vulnerability was found in Tenda AC10U 15.03.06.49_multi_TDE01. It has been rated as critical. Affected by this issue is the function fromNatStaticSetting. The manipulation of the argument page leads to stack-based buffer overflow. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. VDB-252134 is the identifier assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	CWE-121	CWE-121
CVE-2024-0343	A vulnerability classified as problematic was found in CodeAstro Simple House Rental System 5.6. Affected by this vulnerability is an unknown functionality of the component Login Panel. The manipulation leads to cross site scripting. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-250111.	CWE-79	This mapping is appropriate
CVE-2024-1573	"Improper Authentication vulnerability in the mobile monitoring feature of ICONICS GENESIS64 versions 10.97 to 10.97.2, Mitsubishi Electric GENESIS64 versions 10.97 to 10.97.2 and Mitsubishi Electric MC Works64 all versions allows a remote unauthenticated attacker to bypass proper authentication and log in to the system when all of the following conditions are met:  *  Active Directory is used in the security setting.
  *  “Automatic log in” option is enabled in the security setting.
  *  The IcoAnyGlass IIS Application Pool is running under an Active Directory Domain Account.
  *  The IcoAnyGlass IIS Application Pool account is included in GENESIS64TM and MC Works64 Security and has permission to log in."	CWE-287	This situation is best mapped to CWE-287: Improper Authentication. This CWE category involves cases where the software does not perform appropriate verification of a user's identity, bypassing expected authentication steps, which aligns with how the
CVE-2024-0979	The Dashboard Widgets Suite plugin for WordPress is vulnerable to Reflected Cross-Site Scripting via the 'tab' parameter in all versions up to, and including, 3.4.3 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that execute if they can successfully trick a user into performing an action such as clicking on a link.	CWE-79	In this case, the vulnerability is in reflecting the content of the 'tab' parameter without proper validation or encoding, leading to the execution of potentially harmful scripts. This reflects the classic Reflected X
CVE-2024-1456	An S3 bucket takeover vulnerability was identified in the h2oai/h2o-3 repository. The issue involves the S3 bucket 'http://s3.amazonaws.com/h2o-training', which was found to be vulnerable to unauthorized takeover.	CWE-840	CWE-284
CVE-2024-1060	Use after free in Canvas in Google Chrome prior to 121.0.6167.139 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: High)	CWE-416	CWE-416
CVE-2024-0832	In Telerik Reporting versions prior to 2024 R1, a privilege elevation vulnerability has been identified in the applications installer component.  In an environment where an existing Telerik Reporting install is present, a lower privileged user has the ability to manipulate the installation package to elevate their privileges on the underlying operating system.	NVD-CWE-noinfo	CWE-276
